"English_name","Scientific_name","X3A_CODE"
"Blue sucker","Cycleptus elongatus","YCL"
"Lost River sucker","Deltistes luxatus","DEU"
"Longnose sucker","Catostomus catostomus","ATC"
"White sucker","Catostomus commersoni","ATO"
"Flannelmouth sucker","Catostomus latipinnis","ATS"
"Largescale sucker","Catostomus macrocheilus","ATU"
"Tahoe sucker","Catostomus tahoensis","ATE"
"Gray redhorse","Moxostoma congestum","MOG"
"Golden redhorse","Moxostoma erythrurum","MOE"
"Shorthead redhorse","Moxostoma macrolepidotum","MOM"
"Harelip sucker","Lagochila lacera","LAL"
"Bigmouth buffalo","Ictiobus cyprinellus","BUB"
"Buffalofishes nei","Ictiobus spp","BUF"
"Chinese sucker","Myxocyprinus asiaticus","MXS"
"River carpsucker","Carpiodes carpio","CDO"
"Razorback sucker","Xyrauchen texanus","XYT"
"Cui-ui","Chasmistes cujus","ATJ"
"Spotted sucker","Minytrema melanops","MIM"
"Lake chubsucker","Erimyzon sucetta","ERU"
"Northern hog sucker","Hypentelium nigricans","HYN"
"Suckers nei","Catostomidae","CTM"
"Freshwater bream","Abramis brama","FBM"
"Freshwater breams nei","Abramis spp","FBR"
"Common carp","Cyprinus carpio","FCP"
"Barbless carp","Cyprinus pellegrini","FPR"
NA,"Aaptosyax grypus","AAX"
"Chinese false gudgeon","Abbottina rivularis","ABB"
"Blackbrow bleak","Acanthalburnus microlepis","AHL"
"Tench","Tinca tinca","FTE"
NA,"Acapoeta tanganicae","ATA"
"Bleak","Alburnus alburnus","ALR"
NA,"Alburnus albidus","ABD"
"Barbel","Barbus barbus","PTB"
"Mediterranean barbel","Barbus meridionalis","BUD"
NA,"Barbus canis","BBQ"
"Smallmouth yellowfish","Barbus aeneus","BBN"
"Clanwilliam yellowfish","Barbus capensis","BBJ"
NA,"Barbus haasi","BUH"
"Spotscale barb","Barbus holotaenia","BUO"
NA,"Barbus johnstonii","BUJ"
"Broadband barb","Barbus macrotaenia","BUI"
NA,"Barbus neumayeri","BUY"
NA,"Barbus longiceps","BUN"
NA,"Barbus plebejus","BSJ"
"Ripon barbel","Barbus altianalis","BBU"
NA,"Barbus altidorsalis","BBI"
"Algerian barb","Barbus callensis","BBK"
NA,"Barbus eurystomus","BUE"
"Line-spotted barb","Barbus lineomaculatus","BUL"
"Slender barb","Barbus unitaeniatus","BSN"
